Delegacia;Furtos na região;Roubo de carga;Roubos;Roubo de Veiculo;Furto de veiculo;Latrocinios;Homicídio doloso por acidente de trânsito;Homicídio Culposo por acidente de Trânsito;Homicídio Culposo;Tentativa de Homicídio;Lesão Corporal seguida de morte;Lesão Corporal Dolosa;Lesão Corporal Culposa por acidente de trânsito;Lesão Corporal Culposa;Estupro;Estupro de vulnerável;Roubo de veiculos;Roubo a Banco ;Ano
059 DP - Jardim Noemia;692,00;27,00;944,00;1,00;105,00;3,00;0,00;1,00;0,00;5,00;0,00;250,00;50,00;2,00;8,00;21,00;112,00;0,00;2020
059 DP - Jardim Noemia;959,00;25,00;1113,00;0,00;157,00;7,00;0,00;1,00;0,00;8,00;0,00;278,00;65,00;10,00;5,00;34,00;161,00;0,00;2019
062 DP - Ermelino Matarazzo;1339,00;18,00;1051,00;0,00;210,00;11,00;0,00;7,00;0,00;10,00;2,00;280,00;103,00;16,00;6,00;19,00;102,00;1,00;2020
062 DP - Ermelino Matarazzo;1588,00;17,00;1108,00;0,00;354,00;7,00;2,00;4,00;0,00;9,00;1,00;391,00;113,00;8,00;5,00;23,00;87,00;0,00;2019
063 DP - Vila Jacuí;1383,00;14,00;1420,00;1,00;280,00;11,00;0,00;7,00;0,00;8,00;1,00;355,00;125,00;12,00;8,00;35,00;192,00;0,00;2020
063 DP - Vila Jacuí;1669,00;33,00;1336,00;0,00;404,00;9,00;0,00;8,00;0,00;6,00;0,00;387,00;125,00;14,00;9,00;36,00;214,00;0,00;2019
064 DP - Cidade A E Carvalho;1795,00;14,00;1584,00;1,00;422,00;10,00;0,00;4,00;0,00;7,00;3,00;476,00;67,00;20,00;11,00;29,00;189,00;1,00;2020
064 DP - Cidade A E Carvalho;2389,00;13,00;1544,00;0,00;517,00;12,00;0,00;3,00;0,00;7,00;0,00;533,00;103,00;12,00;7,00;40,00;278,00;0,00;2019
065 DP - Artur Alvim;1745,00;5,00;911,00;0,00;255,00;4,00;0,00;7,00;0,00;4,00;0,00;233,00;76,00;5,00;4,00;11,00;122,00;0,00;2020
065 DP - Artur Alvim;2586,00;3,00;1091,00;1,00;287,00;4,00;0,00;2,00;1,00;4,00;0,00;310,00;102,00;14,00;3,00;6,00;226,00;0,00;2019
066 DP - Vale do Aricanduva;1233,00;15,00;1269,00;0,00;361,00;2,00;0,00;7,00;0,00;3,00;0,00;331,00;107,00;5,00;3,00;17,00;192,00;0,00;2020
066 DP - Vale do Aricanduva;1596,00;19,00;1514,00;1,00;420,00;5,00;0,00;6,00;0,00;12,00;0,00;356,00;145,00;3,00;6,00;19,00;309,00;0,00;2019
067 DP - Jardim Robru;809,00;24,00;1022,00;1,00;104,00;6,00;0,00;0,00;0,00;1,00;0,00;226,00;31,00;3,00;1,00;29,00;98,00;0,00;2020
067 DP - Jardim Robru;1013,00;15,00;1118,00;0,00;152,00;3,00;0,00;2,00;0,00;5,00;0,00;249,00;53,00;8,00;2,00;38,00;182,00;0,00;2019
068 DP - Lajeado;1086,00;7,00;1404,00;1,00;156,00;6,00;0,00;3,00;0,00;8,00;2,00;302,00;81,00;7,00;6,00;31,00;207,00;0,00;2020
068 DP - Lajeado;1202,00;16,00;1641,00;0,00;172,00;11,00;0,00;3,00;0,00;6,00;0,00;391,00;114,00;3,00;16,00;44,00;329,00;0,00;2019
069 DP - Teotônio Vilela;1260,00;31,00;1363,00;0,00;543,00;10,00;0,00;3,00;0,00;8,00;1,00;384,00;120,00;8,00;10,00;38,00;267,00;0,00;2020
069 DP - Teotônio Vilela;1925,00;39,00;1716,00;1,00;878,00;12,00;0,00;5,00;2,00;10,00;1,00;392,00;125,00;8,00;12,00;36,00;484,00;0,00;2019
070 DP - Vila Ema;905,00;43,00;1309,00;2,00;497,00;15,00;0,00;6,00;0,00;7,00;0,00;209,00;113,00;16,00;5,00;23,00;241,00;0,00;2020
070 DP - Vila Ema;1052,00;44,00;1602,00;0,00;747,00;12,00;0,00;2,00;0,00;9,00;0,00;281,00;155,00;7,00;7,00;33,00;397,00;0,00;2019
072 DP - Vila Penteado;881,00;30,00;745,00;0,00;96,00;17,00;0,00;5,00;1,00;9,00;0,00;223,00;116,00;6,00;4,00;29,00;81,00;0,00;2020
072 DP - Vila Penteado;1261,00;55,00;1375,00;1,00;184,00;9,00;0,00;4,00;1,00;9,00;2,00;322,00;191,00;10,00;11,00;27,00;222,00;0,00;2019
073 DP - Jaçanã;1791,00;91,00;1774,00;1,00;397,00;14,00;0,00;22,00;1,00;16,00;0,00;513,00;171,00;38,00;13,00;53,00;267,00;0,00;2020
073 DP - Jaçanã;2001,00;47,00;2032,00;2,00;441,00;30,00;0,00;25,00;1,00;19,00;0,00;613,00;265,00;21,00;15,00;58,00;403,00;0,00;2019
074 DP - Jaraguá;1387,00;259,00;1587,00;1,00;261,00;17,00;0,00;10,00;0,00;10,00;1,00;459,00;115,00;10,00;8,00;60,00;234,00;0,00;2020
074 DP - Jaraguá;1576,00;232,00;1959,00;1,00;322,00;11,00;0,00;1,00;1,00;17,00;0,00;544,00;170,00;5,00;11,00;56,00;310,00;0,00;2019
075 DP - Jardim Arpoador;880,00;84,00;1418,00;1,00;175,00;9,00;0,00;5,00;0,00;7,00;0,00;246,00;74,00;35,00;3,00;21,00;232,00;0,00;2020
075 DP - Jardim Arpoador;921,00;127,00;1464,00;0,00;169,00;5,00;0,00;6,00;0,00;13,00;0,00;251,00;108,00;38,00;6,00;32,00;303,00;0,00;2019
077 DP - Santa Cecília;3783,00;2,00;1735,00;0,00;122,00;4,00;0,00;2,00;0,00;6,00;1,00;244,00;65,00;4,00;9,00;8,00;23,00;0,00;2020
077 DP - Santa Cecília;3542,00;2,00;1813,00;0,00;171,00;5,00;0,00;3,00;0,00;9,00;4,00;326,00;84,00;17,00;13,00;6,00;34,00;0,00;2019
078 DP - Jardins;6097,00;2,00;1759,00;1,00;282,00;3,00;0,00;2,00;0,00;2,00;0,00;199,00;110,00;27,00;5,00;5,00;15,00;0,00;2020
078 DP - Jardins;12278,00;2,00;2203,00;0,00;401,00;1,00;1,00;3,00;1,00;4,00;0,00;269,00;188,00;18,00;6,00;3,00;16,00;0,00;2019
080 DP - Vila Joaniza;900,00;13,00;1613,00;0,00;110,00;2,00;0,00;3,00;0,00;6,00;1,00;208,00;64,00;0,00;1,00;5,00;134,00;0,00;2020
080 DP - Vila Joaniza;1281,00;10,00;1419,00;0,00;158,00;3,00;0,00;3,00;0,00;9,00;0,00;211,00;91,00;4,00;4,00;19,00;257,00;0,00;2019
081 DP - Belém;645,00;11,00;300,00;0,00;81,00;5,00;0,00;0,00;0,00;2,00;1,00;107,00;26,00;11,00;2,00;5,00;14,00;0,00;2020
081 DP - Belém;770,00;20,00;386,00;1,00;131,00;3,00;0,00;0,00;0,00;2,00;0,00;109,00;49,00;32,00;2,00;1,00;14,00;0,00;2019
083 DP - Parque Bristol;441,00;13,00;877,00;0,00;160,00;3,00;0,00;1,00;0,00;6,00;0,00;339,00;53,00;2,00;7,00;8,00;173,00;0,00;2020
083 DP - Parque Bristol;675,00;16,00;854,00;0,00;174,00;8,00;0,00;1,00;1,00;3,00;0,00;373,00;108,00;4,00;9,00;14,00;317,00;0,00;2019
085 DP - Jardim Mirna;1486,00;120,00;2640,00;0,00;213,00;21,00;0,00;7,00;0,00;16,00;1,00;503,00;89,00;7,00;14,00;41,00;158,00;0,00;2020
085 DP - Jardim Mirna;1717,00;141,00;2570,00;0,00;269,00;13,00;0,00;7,00;0,00;19,00;1,00;551,00;177,00;2,00;12,00;49,00;270,00;0,00;2019
087 DP - Vila Pereira Barreto;917,00;30,00;746,00;0,00;374,00;6,00;0,00;1,00;0,00;9,00;0,00;286,00;91,00;0,00;4,00;20,00;204,00;0,00;2020
087 DP - Vila Pereira Barreto;1062,00;33,00;1059,00;0,00;452,00;6,00;0,00;2,00;0,00;6,00;0,00;220,00;131,00;6,00;5,00;19,00;438,00;0,00;2019
089 DP - Portal do Morumbi;1328,00;10,00;1341,00;0,00;109,00;13,00;1,00;8,00;0,00;10,00;1,00;251,00;138,00;6,00;7,00;17,00;139,00;0,00;2020
089 DP - Portal do Morumbi;1529,00;3,00;1285,00;0,00;142,00;9,00;0,00;0,00;1,00;10,00;0,00;223,00;184,00;16,00;5,00;21,00;131,00;0,00;2019
090 DP - Parque Novo Mundo;1098,00;52,00;936,00;0,00;206,00;15,00;0,00;4,00;0,00;2,00;1,00;130,00;81,00;3,00;1,00;10,00;128,00;0,00;2020
090 DP - Parque Novo Mundo;908,00;78,00;909,00;0,00;291,00;18,00;0,00;4,00;0,00;9,00;0,00;137,00;103,00;2,00;2,00;11,00;114,00;0,00;2019
091 DP - Ceagesp;1260,00;27,00;523,00;0,00;280,00;4,00;0,00;5,00;0,00;7,00;0,00;133,00;107,00;7,00;5,00;1,00;65,00;1,00;2020
091 DP - Ceagesp;1475,00;40,00;661,00;0,00;465,00;1,00;0,00;6,00;0,00;4,00;0,00;179,00;123,00;5,00;3,00;9,00;88,00;0,00;2019
092 DP - Parque Santo Antônio;1694,00;26,00;2739,00;0,00;271,00;11,00;0,00;6,00;0,00;19,00;0,00;525,00;148,00;10,00;17,00;38,00;169,00;0,00;2020
092 DP - Parque Santo Antônio;1992,00;36,00;2928,00;5,00;333,00;22,00;0,00;13,00;0,00;14,00;0,00;572,00;209,00;17,00;18,00;38,00;271,00;1,00;2019
093 DP - Jaguaré;1054,00;34,00;670,00;0,00;233,00;5,00;0,00;6,00;4,00;3,00;0,00;71,00;112,00;42,00;6,00;12,00;91,00;0,00;2020
093 DP - Jaguaré;1583,00;49,00;991,00;0,00;360,00;0,00;0,00;0,00;1,00;6,00;0,00;129,00;180,00;10,00;5,00;7,00;140,00;0,00;2019
095 DP - Heliópolis;707,00;54,00;1435,00;1,00;301,00;6,00;0,00;4,00;0,00;8,00;0,00;316,00;61,00;5,00;5,00;18,00;299,00;0,00;2020
095 DP - Heliópolis;815,00;82,00;1603,00;1,00;351,00;6,00;0,00;3,00;0,00;4,00;0,00;362,00;112,00;4,00;4,00;18,00;512,00;0,00;2019
096 DP - Monções;2526,00;8,00;1065,00;1,00;249,00;0,00;0,00;2,00;0,00;0,00;0,00;225,00;64,00;6,00;3,00;4,00;62,00;0,00;2020
096 DP - Monções;3301,00;7,00;1183,00;0,00;375,00;2,00;0,00;2,00;0,00;3,00;0,00;257,00;138,00;30,00;2,00;6,00;70,00;0,00;2019
097 DP - Americanópolis;720,00;34,00;1245,00;0,00;121,00;5,00;0,00;9,00;0,00;4,00;1,00;291,00;72,00;8,00;7,00;15,00;219,00;0,00;2020
097 DP - Americanópolis;1113,00;12,00;1109,00;3,00;165,00;4,00;0,00;5,00;0,00;9,00;0,00;372,00;97,00;11,00;10,00;17,00;441,00;0,00;2019
098 DP - Jardim Míriam;1009,00;13,00;2369,00;0,00;186,00;14,00;0,00;5,00;0,00;19,00;0,00;376,00;147,00;1,00;7,00;27,00;338,00;0,00;2020
098 DP - Jardim Míriam;1535,00;43,00;2791,00;1,00;210,00;11,00;0,00;8,00;0,00;14,00;0,00;447,00;170,00;1,00;13,00;36,00;627,00;0,00;2019
099 DP - Campo Grande;1272,00;11,00;1079,00;0,00;231,00;4,00;0,00;4,00;0,00;1,00;0,00;139,00;134,00;6,00;7,00;7,00;158,00;1,00;2020
099 DP - Campo Grande;1869,00;14,00;1014,00;1,00;366,00;4,00;0,00;5,00;0,00;0,00;0,00;202,00;187,00;9,00;5,00;7,00;210,00;0,00;2019
100 DP - Jardim Herculano;1213,00;83,00;2486,00;1,00;173,00;32,00;1,00;7,00;0,00;18,00;1,00;557,00;106,00;4,00;17,00;52,00;262,00;0,00;2020
100 DP - Jardim Herculano;1213,00;151,00;2973,00;2,00;157,00;29,00;0,00;6,00;0,00;21,00;0,00;569,00;100,00;2,00;15,00;55,00;297,00;0,00;2019
101 DP - Jardim das Imbuias;1764,00;97,00;2802,00;0,00;168,00;5,00;1,00;12,00;1,00;8,00;0,00;604,00;160,00;12,00;19,00;42,00;167,00;0,00;2020
101 DP - Jardim das Imbuias;2071,00;104,00;2744,00;2,00;303,00;9,00;0,00;7,00;0,00;22,00;0,00;615,00;198,00;13,00;15,00;45,00;255,00;0,00;2019
102 DP - Socorro;757,00;9,00;856,00;0,00;103,00;0,00;0,00;5,00;0,00;2,00;0,00;78,00;102,00;10,00;2,00;5,00;75,00;0,00;2020
102 DP - Socorro;838,00;7,00;707,00;0,00;128,00;2,00;0,00;6,00;0,00;4,00;1,00;131,00;145,00;10,00;4,00;3,00;82,00;0,00;2019
103 DP - Cohab Itaquera;928,00;16,00;949,00;0,00;225,00;0,00;0,00;4,00;0,00;3,00;0,00;364,00;63,00;1,00;7,00;15,00;133,00;0,00;2020
103 DP - Cohab Itaquera;990,00;18,00;1091,00;0,00;265,00;5,00;0,00;0,00;0,00;7,00;0,00;306,00;63,00;18,00;7,00;21,00;223,00;0,00;2019
1ª DDM - 1ª Seccional - Centro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
1ª DDM - 1ª Seccional - Centro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
2ª DDM - 2ª Seccional - Sul;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
2ª DDM - 2ª Seccional - Sul;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
3ª DDM - 3ª Seccional - Oeste;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
3ª DDM - 3ª Seccional - Oeste;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
4ª DDM - 4ª Seccional - Norte;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;2020
4ª DDM - 4ª Seccional - Norte;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;257,00;1,00;59,00;0,00;4,00;0,00;0,00;2019
5ª DDM - 5ª Seccional - Leste;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
5ª DDM - 5ª Seccional - Leste;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
6ª DDM - 6ª Seccional - Santo Amaro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
6ª DDM - 6ª Seccional - Santo Amaro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
7ª DDM - 7ª Seccional - Itaquera;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
7ª DDM - 7ª Seccional - Itaquera;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
8ª DDM - 8ª Seccional São Mateus;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
8ª DDM - 8ª Seccional São Mateus;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
9ª DDM - 3ª Seccional - Oeste;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
9ª DDM - 3ª Seccional - Oeste;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
Central de Flagrantes II - 91 DP;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Central de Flagrantes II - 91 DP;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
Del. Aeroporto Int. SP - Guarulhos (SP);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Del. Aeroporto Int. SP - Guarulhos (SP);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
Del. Aeroporto Int. Viracopos - CPS (SP);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Del. Aeroporto Int. Viracopos - CPS (SP);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
Del. Aeroporto SP - Congonhas;23,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Del. Aeroporto SP - Congonhas;73,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;2,00;0,00;0,00;1,00;1,00;0,00;2019
Del. Pol. Atendimento ao Turista;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Del. Pol. Atendimento ao Turista;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
Delegacia de Proteção ao Idoso - 1ª Seccional - Centro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Delegacia de Proteção ao Idoso - 1ª Seccional - Centro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
Delegacia do Idoso - 2ª Seccional - Sul;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Delegacia do Idoso - 2ª Seccional - Sul;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
Delegacia do Idoso - 3ª Seccional - Oeste;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Delegacia do Idoso - 3ª Seccional - Oeste;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
Delegacia do Idoso - 4ª Seccional - Norte;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Delegacia do Idoso - 4ª Seccional - Norte;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;2019
Delegacia do Idoso - 5ª Seccional - Leste;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Delegacia do Idoso - 5ª Seccional - Leste;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
Delegacia do Idoso - 6ª Secional - Santo Amaro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Delegacia do Idoso - 6ª Secional - Santo Amaro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
Delegacia do Idoso - 7ª Seccional - Itaquera;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Delegacia do Idoso - 7ª Seccional - Itaquera;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
Delegacia do Idoso - 8ª Seccional - São Mateus;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Delegacia do Idoso - 8ª Seccional - São Mateus;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
Delegacia Porto de Santos (SP);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
Delegacia Porto de Santos (SP);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
DELPOL Metropolitano;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
DELPOL Metropolitano;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2019
OUTRAS ESPECIALIZADAS;5,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;1,00;2,00;0,00;0,00;0,00;0,00;2020
OUTRAS ESPECIALIZADAS;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;2,00;0,00;0,00;0,00;0,00;0,00;2019
